ID,QUESTION_TEXT,HINT,QUESTION_TYPE,CATEGORY,DIFFICULTY,LANGUAGE,ANSWER_OPTION_A,ANSWER_OPTION_B,ANSWER_OPTION_C,ANSWER_OPTION_D,ANSWER_CORRECT,HAS_ORDERED_ANSWERS,ANSWER_EXPLANATION,ANSWER_AUDIO,ANSWER_VIDEO,ANSWER_ACCESSIBLE_URL,ANSWER_ACCESSIBLE_URL_TEXT,ANSWER_SCIENTIFIC_URL,ANSWER_SCIENTIFIC_URL_TEXT,ANSWER_READING_RECOMMENDATION,ANSWER_IMAGE_URL,ANSWER_IMAGE_EXPLANATION,ANSWER_EXTRA_INFO,AUTHOR,VALIDATOR,VALIDATION_STATUS,ADDED,CREATED,UPDATED,TAGS_LIST
1,Quelle proportion des aliments produits jette-t-on chaque année dans le monde ?,,QCM,2,1,Français,1% de la nourriture produite,5% de la nourriture produite,10% de la nourriture produite,30% de la nourriture produite,d,True,"Plus de 41 tonnes de nourriture sont jetées chaque seconde dans le monde. Cela représente un gaspillage alimentaire de 1,3 milliard de tonnes d'aliments par an, soit 1/3 de la production globale de denrées alimentaires dédiée à la consommation. Le gaspillage alimentaire concerne les pays riches comme pauvres et représenterait une valeur gaspillée de 750 milliards de dollars.",,,https://www.planetoscope.com/agriculture-alimentation/1556-le-gaspillage-alimentaire-dans-le-monde.html,Planetoscope - Statistiques : Le gaspillage alimentaire dans le monde,http://www.fao.org/food-loss-and-food-waste/fr/,,,,Répartition des pertes de nourriture dans le monde.,,Matthieu Massart,Raphael Odini,Validée,2020-03-07,2020-03-07 00:00:00,2020-09-28 00:00:00,"[4, 5, 216]"
2,"Supposons que  demain, toute l'énergie consommée en France par des machines doive être alimentée par des hommes qui pédalent 8h par jour. Combien faudrait-il en moyenne de travailleurs au service de chaque français pour continuer à vivre comme aujourd’hui ?",,QCM,5,3,Français,20,100,400,1000,c,True,"On peut estimer qu'en un journée, un humain consomme en nourriture environ 5 kWh dont il peut restituer en puissance mécanique 0,05 à 0,5 kWh (bras ou jambes). Jean-Marc Jancovici a popularisé pour illustrer ces chiffres la notion ""d'esclave énergétique"" à notre service pour nous fournir le niveau de vie dont nous jouissons.",,,https://jancovici.com/transition-energetique/l-energie-et-nous/combien-suis-je-un-esclavagiste/,Combien suis-je un esclavagiste ? – Jean-Marc Jancovici,,,,,,,Matthieu Massart,Pascal Esposito,Validée,2020-03-07,2020-03-07 00:00:00,2020-09-28 00:00:00,"[1, 197, 216]"
3,Qu'appelle t-on l'effet rebond ?,,QCM,2,1,Français,Le fait que la population d'une espèce se met à augmenter à nouveau après avoir diminué faute de ressources,La réflexion des rayons solaires sur la terre,Le fait qu'un gisement d'énergie fossile redevienne compétitif une fois que le prix du marché a augmenté,"Le fait que plus on a gagné en efficacité dans l'utilisation d'une ressource, plus on en consomme au total",d,False,"Exemple : les voitures sont de plus en plus économes, mais la consommation globale d’essence ne fait qu’augmenter, par effet d’aubaine.
Idem pour l'aviation (billets moins chers donc on voyage plus souvent, ou plus loin).",,,https://www.lafabriqueecologique.fr/transition-energetique-le-role-incontournable-de-leffet-rebond/,Transition énergétique : le rôle incontournable de l’effet rebond - La fabrique écologique,http://www.decroissance.qc.ca/sites/default/files/journal/Schneider_l_Ecologiste.pdf,,,,"Effet rebond lié au covoiturage (dans le cas d’un scénario de covoiturage volontariste (hausse de 25 % du taux d’occupation moyen des véhicules en Île-de-France. 
Source de l'image : Viguié et Coulombel, à partir de Coulombel et al. (2019)",,Matthieu Massart,Raphael Odini,Validée,2020-03-07,2020-03-07 00:00:00,2020-09-28 00:00:00,[50]
4,"A Porto Rico, sur les 35 dernières années, quelle a été l'évolution de la population des insectes ?",,QCM,4,3,Français,-10%,-30%,-50%,-80%,d,True,"En 35 ans dans la forêt tropicale de Luqillo à Porto Rico, 80 % des insectes de la canopée se sont éteints, et ce phénomène monte jusqu’à 98 % pour les insectes au sol. Pour l'auteur de l'étude, cet effondrement des populations d’insectes est dû au réchauffement climatique. Entre les années 1970 et aujourd’hui, la température moyenne de la forêt pluviale a augmenté de 2,2° C.",,,https://www.lemonde.fr/planete/article/2019/02/11/le-declin-des-insectes-une-menace-grandissante-pour-les-ecosystemes-naturels_5422018_3244.html,Les insectes pourraient disparaître de la planète d’ici 100 ans,https://www.pnas.org/content/115/44/E10397,,,,,"article avec vidéo Brut : https://www.francetvinfo.fr/economie/emploi/metiers/agriculture/video-a-porto-rico-la-disparition-drastique-des-insectes-inquiete-les-scientifiques_3149365.html

remise en question du rapport ici : https://www.pnas.org/content/116/25/12143",Matthieu Massart,Raphael Odini,Validée,2020-03-07,2020-03-07 00:00:00,2020-09-28 00:00:00,"[6, 7]"
5,Les hydrates de méthane sont une forme de glace au fond des océans. Ils peuvent devenir instables et libérer du méthane...,,QCM,1,1,Français,Dès maintenant,A partir de +1°C de hausse de la température de l'air,A partir de +2°C de hausse de la température de l'air,A partir de +5°C de hausse de la température de l'air,c,True,"Des scientifiques craignent que le réchauffement climatique, en élevant suffisamment la température du pergélisol, permette que les hydrates qui y sont présents fondent au moins partiellement : cela aurait pour effet de relâcher d'énormes quantités de méthane dans l'atmosphère, lequel viendrait à son tour augmenter l'effet de serre, d'où un effet d'emballement. Florent Dominé, du CNRS, évoque une augmentation de 5 à 8 °C de la température d'ici à 2100.",,,https://jancovici.com/changement-climatique/risques/faut-il-redouter-les-hydrates-de-methane/,Faut-il craindre les hydrates de méthane ? – Jean-Marc Jancovici,,,,,,,Matthieu Massart,,Écartée,2020-03-07,2020-03-07 00:00:00,2020-05-23 00:00:00,[15]
6,L'effet de serre additionnel créé par l'homme emprisonne de l'énergie. Quelle proportion de celle-ci se retrouve absorbée par les océans ?,,QCM,1,2,Français,13%,53%,73%,93%,d,True,"Et en se réchauffant, l'eau se dilate, entre autres dérèglements. Imaginez un peu ce que serait la température de l'atmosphère s'il n'y avait pas l'océan pour absorber l'essentiel de ce surplus d'énergie !",,,https://ocean-climate.org/?p=4104,,,,,,,lien vers l’image « situation actuelle » seule: https://i1.wp.com/ocean-climate.org/wp-content/uploads/2015/03/FichesP%C3%87dagogiques_EffetDeSerre_02.jpg,Matthieu Massart,laydgeur,Validée,2020-03-08,2020-03-08 00:00:00,2020-09-28 00:00:00,"[9, 98]"
7,"Des scientifiques ont suivi la taille des populations de 30,000 espèces de vertébrés sur 40 ans. Qu'ont-ils observé ?",,QCM,4,2,Français,"Une forte augmentation pour 1/3 d'entre eux, une diminuation notable pour les autres",Une relative stabilité,Une baisse de 20%,Une baisse de 60%,d,True,"Les causes principales en sont la perte et dégradation des habitats. Puis viennent la surexploitation des sols, la pollution, et le changement climatique. Notez qu’on parle de réduction des populations, pas de disparitions d’espèces, ce qui est une autre question.",,,https://www.lemonde.fr/biodiversite/article/2016/10/27/la-moitie-des-vertebres-a-disparu-en-quarante-ans_5020936_1652692.html,Plus de la moitié des vertébrés ont disparu en quarante ans,https://ipbes.net/news/Media-Release-Global-Assessment-Fr,,,,"L’indice Planète vivante, qui mesure l’abondance de la biodiversité, affiche un déclin de 58 % entre 1970 et 2010.",,Matthieu Massart,Raphael Odini,Validée,2020-03-08,2020-03-08 00:00:00,2020-09-28 00:00:00,[7]
8,"Si on arrêtait aujourd'hui toutes nos émissions de gaz à effet de serre, combien de temps faudrait-il pour revenir au niveau antérieur à la révolution industrielle ?",,QCM,1,2,Français,100 ans,1000 ans,10 000 ans,100 000 ans,c,True,"Même dans cet exercice de pensée irréaliste, l'homme a d'ores et déjà induit des modifications irréversibles et la planète ne pourra pas revenir à son état antérieur. On ne parle ici que des durées de résidence des gaz à effet de serre dans l'atmosphère.",,,https://jancovici.com/changement-climatique/gaz-a-effet-de-serre-et-cycle-du-carbone/quels-sont-les-gaz-a-effet-de-serre-quels-sont-leurs-contribution-a-leffet-de-serre/,Quels sont les gaz à effet de serre ? – Jean-Marc Jancovici,https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_Chapter06_FINAL.pdf,,,,"Évolution de nos émissions de CO2 : au bout de 200 ans il restera 60% du surplus de CO2 dans l'atmosphère, au bout de 2000 ans il en restera quasiment 40%, et au bout de 10000 ans il en restera encore 20% !",,Matthieu Massart,Pascal Esposito,Validée,2020-03-08,2020-03-08 00:00:00,2020-09-28 00:00:00,"[13, 142, 153, 212]"
9,"Entre 2011 et 2013, la Chine a consommé autant de ciment que les États-Unis en...",,QCM,2,3,Français,10 ans,50 ans,100 ans,,c,True,"20 millions de Chinois quittent leur campagne chaque année, allant se loger dans des grandes constructions récentes, dont très peu sont en bois, sans incitation à économiser le béton. C'est pourtant l'une des industries les plus émettrices de gaz à effet de serre.",,,https://blogs.alternatives-economiques.fr/gilles-raveaud/2015/04/02/la-chine-a-consomme-plus-de-ciment-en-3-ans-que-les-etats-unis-en-un-siecle,La Chine a consommé plus de ciment en 3 ans que les Etats-Unis en un siècle | Economie humaine | Gilles Raveaud | Les blogs d'Alternatives Économiques,,,,,,,Matthieu Massart,laydgeur,Validée,2020-03-08,2020-03-08 00:00:00,2020-09-28 00:00:00,"[10, 57, 216]"
10,« On a 40 ans de pétrole devant nous ! »,,QCM,5,2,Français,"C’est des sornettes, ça fait 40 ans qu’on dit ça !","Ben oui, c'est la vérité",La question est mal posée : les réserves ne peuvent pas s’exprimer en années restantes,"D'ici-là, on aura trouvé une énergie aussi bien que le pétrole",c,False,La question est mal posée en ces termes !,,,https://www.connaissancedesenergies.org/tribune-actualite-energies/les-reserves-de-petrole-ne-sepuiseront-jamais-mais-le-probleme-nest-pas-la,"« Les réserves de pétrole ne s’épuiseront jamais… mais le problème n’est pas là ! », par Samuele Furfari",,,,,,,Avenir Climatique,,Écartée,2020-03-08,2020-03-08 00:00:00,2020-06-24 00:00:00,[11]
